wavelength_nm,relative_power
300,51.6
305,54.6
310,56.4
315,59.7
320,62.5
325,64.4
330,66.1
335,69.3
340,71.9
345,73.9
350,75.1
355,77.0
360,79.8
365,81.9
370,84.3
375,84.3
380,86.6
385,88.0
390,90.9
395,95.8
400,94.8
405,92.0
410,94.3
415,93.8
420,96.0
425,94.5
430,93.9
435,95.9
440,99.1
445,98.5
450,110.3
455,108.3
460,117.4
465,134.9
470,140.8
475,117.5
480,113.8
485,113.1
490,109.3
495,108.6
500,100.8
505,100.6
510,99.8
515,100.6
520,100.6
525,100.4
530,100.3
535,100.2
540,100.4
545,100.8
550,100.4
555,100.4
560,100.0
565,98.8
570,100.0
575,99.6
580,100.1
585,101.3
590,100.9
595,98.2
600,95.5
605,94.7
610,95.8
615,99.2
620,102.4
625,98.8
630,97.6
635,95.3
640,91.6
645,94.2
650,96.2
655,90.9
660,90.7
665,93.7
670,95.5
675,95.6
680,98.4
685,109.9
690,108.9
695,94.3
700,88.7
705,87.6
710,102.1
715,103.1
720,89.5
725,91.8
730,104.4
735,102.9
740,104.3
745,94.4
750,95.4
755,96.9
760,118.8
765,143.5
770,95.4
775,77.0
780,75.7
