log_exposure,red_density,green_density,blue_density
-0.97,,,
-0.96,,,0.101842
-0.95,,,0.102199
-0.94,,,0.102556
-0.93,,,0.102912
-0.92,,,0.103269
-0.91,,,0.103626
-0.90,,,0.103983
-0.89,,,0.104339
-0.88,,,0.104696
-0.87,,,0.105053
-0.86,,,0.105410
-0.85,,,0.105767
-0.84,,,0.106123
-0.83,,,0.106480
-0.82,,,0.106837
-0.81,,,0.107194
-0.80,,,0.107550
-0.79,,,0.107907
-0.78,,,0.108264
-0.77,,,0.108621
-0.76,,,0.108978
-0.75,,,0.109334
-0.74,,,0.109691
-0.73,,,0.110048
-0.72,,,0.110405
-0.71,,,0.110761
-0.70,,,0.111118
-0.69,,,0.111475
-0.68,,,0.111832
-0.67,,,0.112189
-0.66,,,0.112545
-0.65,,0.057790,0.112902
-0.64,,0.058147,0.113259
-0.63,,0.058503,0.113616
-0.62,,0.058860,0.113972
-0.61,,0.059217,0.114329
-0.60,,0.059574,0.114686
-0.59,,0.059931,0.115043
-0.58,,0.060287,0.115400
-0.57,,0.060644,0.115756
-0.56,,0.061001,0.116113
-0.55,,0.061358,0.116470
-0.54,,0.061714,0.116827
-0.53,,0.062071,0.117183
-0.52,,0.062428,0.117540
-0.51,,0.062785,0.117897
-0.50,,0.063142,0.118254
-0.49,,0.063498,0.118610
-0.48,,0.063855,0.118967
-0.47,,0.064212,0.119324
-0.46,,0.064569,0.119681
-0.45,,0.064925,0.120038
-0.44,,0.065282,0.120394
-0.43,,0.065639,0.120751
-0.42,,0.065996,0.121108
-0.41,,0.066353,0.122315
-0.40,,0.066709,0.124371
-0.39,,0.067066,0.126568
-0.38,0.054308,0.067423,0.128888
-0.37,0.054665,0.067780,0.131321
-0.36,0.055022,0.068136,0.133864
-0.35,0.055378,0.068493,0.136514
-0.34,0.055735,0.068850,0.139273
-0.33,0.056092,0.069207,0.142139
-0.32,0.056449,0.069564,0.145117
-0.31,0.056805,0.069920,0.148207
-0.30,0.057162,0.070277,0.151413
-0.29,0.057519,0.070634,0.154739
-0.28,0.057876,0.070991,0.158189
-0.27,0.058233,0.071347,0.161768
-0.26,0.058589,0.071704,0.165483
-0.25,0.058946,0.072061,0.169341
-0.24,0.059303,0.072418,0.173347
-0.23,0.059660,0.072775,0.177513
-0.22,0.060016,0.073131,0.181847
-0.21,0.060373,0.073488,0.186360
-0.20,0.060730,0.073845,0.191066
-0.19,0.061087,0.074202,0.195979
-0.18,0.061444,0.074558,0.201116
-0.17,0.061800,0.074915,0.206498
-0.16,0.062157,0.075272,0.212148
-0.15,0.062514,0.075629,0.218094
-0.14,0.062871,0.075986,0.224369
-0.13,0.063227,0.076342,0.231014
-0.12,0.063584,0.076699,0.238080
-0.11,0.063941,0.077070,0.245630
-0.10,0.064298,0.079022,0.253600
-0.09,0.064655,0.081147,0.261744
-0.08,0.065011,0.083402,0.270049
-0.07,0.065368,0.085774,0.278509
-0.06,0.065725,0.088258,0.287121
-0.05,0.066082,0.090850,0.295882
-0.04,0.066438,0.093550,0.304791
-0.03,0.066795,0.096358,0.313847
-0.02,0.067152,0.099275,0.323050
-0.01,0.067509,0.102303,0.332400
0.00,0.067866,0.105446,0.341901
0.01,0.068222,0.108707,0.351555
0.02,0.068579,0.112089,0.361365
0.03,0.068936,0.115598,0.371336
0.04,0.069293,0.119239,0.381474
0.05,0.069649,0.123018,0.391787
0.06,0.070006,0.126943,0.402284
0.07,0.070363,0.131021,0.412975
0.08,0.070720,0.135262,0.423873
0.09,0.071076,0.139677,0.434994
0.10,0.071433,0.144277,0.446358
0.11,0.071790,0.149076,0.457987
0.12,0.072147,0.154090,0.469911
0.13,0.072504,0.159337,0.482167
0.14,0.072860,0.164838,0.494803
0.15,0.073217,0.170620,0.507880
0.16,0.073574,0.176712,0.521486
0.17,0.073864,0.183151,0.535740
0.18,0.074175,0.189982,0.550826
0.19,0.074625,0.197261,0.567043
0.20,0.075188,0.205041,0.584944
0.21,0.075857,0.213063,0.604957
0.22,0.076625,0.221217,0.624869
0.23,0.077491,0.229509,0.644436
0.24,0.078454,0.237945,0.663788
0.25,0.079515,0.246534,0.683123
0.26,0.080673,0.255282,0.702711
0.27,0.081931,0.264200,0.722874
0.28,0.083291,0.273297,0.743940
0.29,0.084756,0.282585,0.766189
0.30,0.086328,0.292076,0.789798
0.31,0.088012,0.301785,0.814830
0.32,0.089811,0.311727,0.841250
0.33,0.091732,0.321922,0.868901
0.34,0.093778,0.332390,0.896612
0.35,0.095956,0.343157,0.924153
0.36,0.098274,0.354251,0.951661
0.37,0.100738,0.365706,0.979221
0.38,0.103358,0.377565,1.006892
0.39,0.106144,0.389876,1.034729
0.40,0.109107,0.402702,1.062780
0.41,0.112260,0.416120,1.091098
0.42,0.115617,0.430231,1.119745
0.43,0.119195,0.445166,1.148792
0.44,0.123016,0.461110,1.178335
0.45,0.127101,0.478327,1.208498
0.46,0.131478,0.497224,1.239464
0.47,0.136181,0.517560,1.271513
0.48,0.141250,0.537634,1.305125
0.49,0.146734,0.557402,1.341280
0.50,0.152696,0.576937,1.382775
0.51,0.159205,0.596357,1.434927
0.52,0.165943,0.615803,1.483487
0.53,0.172738,0.635410,1.530400
0.54,0.179593,0.655279,1.576532
0.55,0.186515,0.675466,1.622196
0.56,0.193508,0.695990,1.667546
0.57,0.200581,0.716842,1.712677
0.58,0.207739,0.738001,1.757649
0.59,0.214993,0.759440,1.802509
0.60,0.222351,0.781130,1.847291
0.61,0.229824,0.803044,1.892026
0.62,0.237425,0.825582,1.936743
0.63,0.245169,0.849834,1.981470
0.64,0.253071,0.875545,2.026240
0.65,0.261152,0.902480,2.071091
0.66,0.269434,0.930483,2.116076
0.67,0.277942,0.959446,2.161274
0.68,0.286709,0.989298,2.206823
0.69,0.295771,1.019997,2.253019
0.70,0.305171,1.051524,2.300898
0.71,0.314962,1.083884,2.356448
0.72,0.325206,1.117108,2.404461
0.73,0.335980,1.151262,2.450728
0.74,0.347373,1.186459,2.496212
0.75,0.359493,1.222892,2.541202
0.76,0.372469,1.260900,2.585832
0.77,0.386444,1.301156,2.630172
0.78,0.401578,1.345371,2.674267
0.79,0.418026,1.396936,2.718143
0.80,0.435915,1.442055,2.761816
0.81,0.455300,1.484423,2.805295
0.82,0.475710,1.525608,2.848583
0.83,0.496075,1.566100,2.891676
0.84,0.516461,1.606131,2.934568
0.85,0.536993,1.645833,2.977243
0.86,0.557795,1.685291,3.019681
0.87,0.578990,1.724563,3.061848
0.88,0.600692,1.763695,3.103697
0.89,0.623010,1.802722,3.145151
0.90,0.646040,1.841673,3.186086
0.91,0.669866,1.880576,3.226272
0.92,0.694562,1.919457,3.265181
0.93,0.720186,1.958341,3.301764
0.94,0.746785,1.997259,3.335969
0.95,0.774395,2.036247,3.368103
0.96,0.803038,2.075351,3.398401
0.97,0.832728,2.114639,3.427049
0.98,0.863518,2.154219,3.454192
0.99,0.895330,2.194300,3.479950
1.00,0.928065,2.235410,3.504417
1.01,0.961660,2.281888,3.527674
1.02,0.996075,2.330687,3.549784
1.03,1.031293,2.372987,3.570801
1.04,1.067321,2.413950,3.590767
1.05,1.104190,2.454140,3.609717
1.06,1.141961,2.493774,3.627680
1.07,1.180744,2.532960,3.644675
1.08,1.220719,2.571760,3.660716
1.09,1.262205,2.610211,3.675815
1.10,1.305820,2.648334,3.689980
1.11,1.353085,2.686142,3.703856
1.12,1.404616,2.723638,3.717833
1.13,1.454354,2.760820,3.731862
1.14,1.502543,2.797681,3.745881
1.15,1.549562,2.834209,3.759823
1.16,1.595663,2.870386,3.773616
1.17,1.641020,2.906189,3.787190
1.18,1.685764,2.941586,3.800479
1.19,1.729994,2.976537,3.813430
1.20,1.773792,3.010992,3.826001
1.21,1.817223,3.044883,3.838164
1.22,1.860347,3.078121,3.849907
1.23,1.903216,3.110585,3.861225
1.24,1.945882,3.142104,3.872128
1.25,1.988399,3.172425,3.882629
1.26,2.030827,3.201140,3.892746
1.27,2.073244,3.227554,3.902502
1.28,2.115762,3.253001,3.911919
1.29,2.158579,3.278665,3.921020
1.30,2.202138,3.304500,3.929549
1.31,2.248373,3.330452,3.937065
1.32,2.304993,3.356459,3.943822
1.33,2.354522,3.382444,3.949996
1.34,2.402383,3.408323,3.955702
1.35,2.449275,3.433997,3.961024
1.36,2.495440,3.459358,3.966019
1.37,2.540988,3.484289,3.970733
1.38,2.585975,3.508663,3.975202
1.39,2.630430,3.532350,3.979454
1.40,2.674363,3.555215,3.983512
1.41,2.717771,3.577128,3.987394
1.42,2.760641,3.597964,3.991117
1.43,2.802951,3.617608,3.994693
1.44,2.844667,3.635962,3.998133
1.45,2.885747,3.653342,4.001448
1.46,2.926136,3.670688,4.004645
1.47,2.965763,3.687939,4.007732
1.48,3.004539,3.704985,4.010714
1.49,3.042345,3.721728,4.013597
1.50,3.079030,3.738084,4.016385
1.51,3.114384,3.753984,4.019082
1.52,3.148120,3.769375,4.021690
1.53,3.179808,3.784218,4.024212
1.54,3.208778,3.798488,4.026648
1.55,3.234656,3.812170,4.029000
1.56,3.260297,3.825259,4.031264
1.57,3.286119,3.837760,4.033438
1.58,3.312073,3.849680,4.035509
1.59,3.338098,3.861033,4.037347
1.60,3.364129,3.871835,4.038862
1.61,3.390085,3.882105,4.040372
1.62,3.415878,3.891862,4.041879
1.63,3.441408,3.901127,4.043384
1.64,3.466565,3.909922,4.044886
1.65,3.491231,3.918281,4.046385
1.66,3.515282,3.926264,4.047882
1.67,3.538588,3.933917,4.049376
1.68,3.561022,3.941275,4.050868
1.69,3.582458,3.948366,4.052357
1.70,3.602778,3.955210,4.053843
1.71,3.621876,3.961825,4.055326
1.72,3.639677,3.968222,4.056807
1.73,3.657026,3.974412,4.058284
1.74,3.674346,3.980402,4.059758
1.75,3.691523,3.986200,4.061229
1.76,3.708454,3.991810,4.062697
1.77,3.725044,3.997233,4.064160
1.78,3.741217,4.002473,4.065620
1.79,3.756910,4.007530,4.067076
1.80,3.772076,4.012404,4.068527
1.81,3.786681,4.017091,4.069974
1.82,3.800706,4.021591,4.071416
1.83,3.814141,4.025899,4.072852
1.84,3.826983,4.030010,4.074282
1.85,3.839240,4.033918,4.075705
1.86,3.850921,4.037614,4.077121
1.87,3.862041,4.041061,4.078529
1.88,3.872618,4.044103,4.079928
1.89,3.882671,4.046865,4.081316
1.90,3.892220,4.049431,4.082692
1.91,3.901285,4.051845,4.084055
1.92,3.909892,4.054130,4.085400
1.93,3.918087,4.056300,4.086725
1.94,3.925926,4.058364,4.088024
1.95,3.933452,4.060323,4.089288
1.96,3.940696,4.062177,4.090502
1.97,3.947682,4.063921,4.091636
1.98,3.954428,4.065546,
1.99,3.960950,4.067034,
2.00,3.967259,4.068363,
2.01,3.973365,4.069490,
2.02,3.979274,4.070344,
2.03,3.984993,4.070777,
2.04,3.990524,4.071002,
2.05,3.995871,4.071275,
2.06,4.001035,4.071575,
2.07,4.006015,4.071896,
2.08,4.010811,4.072231,
2.09,4.015420,4.072579,
2.10,4.019841,4.072935,
2.11,4.024067,4.073300,
2.12,4.028093,4.073671,
2.13,4.031914,4.074048,
2.14,4.035519,4.074431,
2.15,4.038722,4.074818,
2.16,4.041425,4.075209,
2.17,4.043831,4.075605,
2.18,4.046037,4.076004,
2.19,4.048096,4.076406,
2.20,4.050042,4.076812,
2.21,4.051898,4.077220,
2.22,4.053679,4.077631,
2.23,4.055398,4.078045,
2.24,4.057065,4.078461,
2.25,4.058688,4.078880,
2.26,4.060273,4.079300,
2.27,4.061827,4.079724,
2.28,4.063358,4.080149,
2.29,4.064874,4.080576,
2.30,4.066388,4.081006,
2.31,4.067932,4.081437,
2.32,4.069450,4.081870,
2.33,4.070907,4.082306,
2.34,4.072307,4.082743,
2.35,4.073653,4.083182,
2.36,4.074947,4.083624,
2.37,4.076192,4.084067,
2.38,4.077389,4.084512,
2.39,4.078540,4.084959,
2.40,4.079647,4.085409,
2.41,4.080713,4.085860,
2.42,4.081738,4.086314,
2.43,4.082725,4.086770,
2.44,4.083675,4.087228,
2.45,4.084588,4.087689,
2.46,4.085468,4.088153,
2.47,4.086315,4.088619,
2.48,4.087130,4.089088,
2.49,4.087916,4.089561,
2.50,4.088674,4.090037,
2.51,4.089405,4.090518,
2.52,4.090111,4.091003,
2.53,4.090795,4.091494,
2.54,4.091460,4.091991,
2.55,4.092109,4.092496,
2.56,4.092747,4.093012,
2.57,4.093383,4.093542,
2.58,4.094031,4.094094,
2.59,4.094717,4.094688,
2.60,,,
