cycles_per_mm,blue_mtf_percent,green_mtf_percent,red_mtf_percent
1.000000,,,
1.023293,,,
1.047129,,,
1.071519,,,
1.096478,,,
1.122018,,,
1.148154,,,
1.174898,,,
1.202264,,,
1.230269,,,
1.258925,,,
1.288250,,,
1.318257,,,
1.348963,,,
1.380384,,,
1.412538,,,
1.445440,,,
1.479108,,,
1.513561,,,
1.548817,,,
1.584893,,,
1.621810,,,
1.659587,,,
1.698244,,,
1.737801,,,
1.778279,,,
1.819701,,,
1.862087,,,
1.905461,,,
1.949845,,,
1.995262,,,
2.041738,,,
2.089296,,,
2.137962,,,
2.187762,,,
2.238721,,,
2.290868,,,
2.344229,,,
2.398833,,,
2.454709,,,
2.511886,97.147380,95.194269,94.328228
2.570396,97.147380,95.194269,94.328228
2.630268,97.147380,95.194269,94.328228
2.691535,97.147380,95.194269,94.328228
2.754229,97.147380,95.194269,94.328228
2.818383,97.147380,95.194269,94.328228
2.884032,97.147380,95.194269,94.328228
2.951209,97.147380,95.194269,94.328228
3.019952,97.147380,95.194269,94.328228
3.090295,97.147380,95.194269,94.328228
3.162278,97.147380,95.194269,94.328228
3.235937,97.147380,95.194269,94.328228
3.311311,97.147380,95.194269,94.328228
3.388442,97.147380,95.194269,94.328228
3.467369,97.147380,95.194269,94.328228
3.548134,97.147380,95.194269,94.328228
3.630781,97.147380,95.194269,94.328228
3.715352,97.147380,95.194269,94.328228
3.801894,97.147380,95.194269,94.328228
3.890451,97.147380,95.194269,94.328228
3.981072,97.147380,95.194269,94.328228
4.073803,97.147380,95.194269,94.328228
4.168694,97.147380,95.194269,94.328228
4.265795,97.147380,95.194269,94.328228
4.365158,97.147380,95.194269,94.328228
4.466836,97.147380,95.194269,94.328228
4.570882,97.147380,95.194269,94.328228
4.677351,97.147380,95.194269,94.328228
4.786301,97.147380,95.194269,94.328228
4.897788,97.147380,95.194269,94.328228
5.011872,97.147380,95.194269,94.328228
5.128614,97.147380,95.194269,94.328228
5.248075,97.147380,95.194269,94.328228
5.370318,97.147380,95.194269,94.328228
5.495409,97.147380,95.194269,94.328228
5.623413,97.147380,95.194269,94.328228
5.754399,97.147380,95.194269,94.328228
5.888437,97.147380,95.194269,94.328228
6.025596,97.147380,95.194269,94.328228
6.165950,97.147380,95.194269,94.328228
6.309573,97.147380,95.194269,94.328228
6.456542,97.147380,95.194269,94.328228
6.606934,97.147380,95.194269,94.328228
6.760830,97.147380,95.194269,94.328228
6.918310,97.147380,95.194269,94.328228
7.079458,97.147380,95.194269,94.328228
7.244360,97.147380,95.194269,94.328228
7.413102,97.147380,95.194269,94.328228
7.585776,97.155544,95.194269,94.331696
7.762471,97.202005,95.194269,94.351429
7.943282,97.286598,95.194269,94.387344
8.128305,97.402112,95.194269,94.436360
8.317638,97.535624,95.194269,94.492971
8.511380,97.668503,95.194269,94.549270
8.709636,97.778231,95.194269,94.595728
8.912509,97.842253,95.194269,94.622821
9.120108,97.842998,95.194269,94.623136
9.332543,97.769947,95.194269,94.592222
9.549926,97.620428,95.194269,94.528906
9.772372,97.397105,95.194269,94.434236
10.000000,97.106280,95.194496,94.311330
10.232930,96.765573,95.209139,94.202772
10.471285,96.390016,95.241118,94.121817
10.715193,95.985731,95.284647,94.056349
10.964782,95.557132,95.335324,93.997045
11.220185,95.107451,95.389641,93.936365
11.481536,94.639027,95.444664,93.867849
11.748976,94.153438,95.497751,93.785472
12.022644,93.652011,95.546431,93.683574
12.302688,93.135581,95.588266,93.556396
12.589254,92.604542,95.620662,93.397644
12.882496,92.059216,95.640967,93.200921
13.182567,91.499371,95.646051,92.958468
13.489629,90.924581,95.632411,92.661642
13.803843,90.333852,95.595660,92.299498
14.125375,89.725803,95.530512,91.858939
14.454398,89.098207,95.429958,91.322576
14.791084,88.447722,95.284446,90.666815
15.135612,87.769416,95.086210,89.862876
15.488166,87.058225,94.854806,88.906712
15.848932,86.308983,94.587233,87.790147
16.218101,85.516909,94.274757,86.507961
16.595869,84.679240,93.908951,85.066838
16.982437,83.796455,93.483180,83.488517
17.378008,82.873576,92.994833,81.811220
17.782794,81.919997,92.446621,80.084587
18.197009,80.947896,91.846465,78.360081
18.620871,79.969514,91.205153,76.681013
19.054607,78.995331,90.534310,75.077444
19.498446,78.033039,89.844322,73.566054
19.952623,77.087716,89.143744,72.153103
20.417379,76.178581,88.482505,70.834823
20.892961,75.311372,87.884426,69.592174
21.379621,74.472876,87.325416,68.405047
21.877616,73.652063,86.785106,67.256943
22.387211,72.839531,86.245863,66.134001
22.908677,72.027272,85.692388,65.024638
23.442288,71.208420,85.111309,63.919099
23.988329,70.377124,84.490994,62.809234
24.547089,69.528437,83.821401,61.688313
25.118864,68.658230,83.093962,60.550869
25.703958,67.762871,82.301012,59.392284
26.302680,66.839532,81.436442,58.209116
26.915348,65.885800,80.494977,56.998614
27.542287,64.900026,79.472913,55.759109
28.183829,63.880575,78.366656,54.489103
28.840315,62.826640,77.174377,53.188218
29.512092,61.737770,75.895109,51.856620
30.199517,60.617229,74.533312,50.500417
30.902954,59.493959,73.131118,49.165029
