wavelength_nm,yellow_forming_layer,magenta_forming_layer,cyan_forming_layer
250.0,,,
255.0,,,
260.0,,,
265.0,,,
270.0,,,
275.0,,,
280.0,,,
285.0,,,
290.0,,,
295.0,,,
300.0,,,
305.0,,,
310.0,,,
315.0,,,
320.0,,,
325.0,,,
330.0,,,
335.0,,,
340.0,,,
345.0,,,
350.0,,,
355.0,,,
360.0,,,
365.0,,,
370.0,,,
375.0,-2.985784,,
380.0,-2.789237,,
385.0,-2.548455,,
390.0,-2.309726,,
395.0,-2.129602,-3.344596,
400.0,-2.002756,-3.252827,
405.0,-1.965661,-3.262816,
410.0,-1.964114,-3.308468,
415.0,-1.963996,-3.313400,
420.0,-1.971820,-3.321415,
425.0,-1.986577,-3.371444,
430.0,-2.000920,-3.432697,
435.0,-1.995598,-3.477795,
440.0,-1.992278,-3.514744,
445.0,-2.028749,-3.547688,
450.0,-2.066490,-3.563790,
455.0,-2.057985,-3.538333,
460.0,-2.025899,-3.499417,
465.0,-1.957292,-3.491926,
470.0,-1.920406,-3.463778,
475.0,-2.021045,-3.277240,
480.0,-2.217731,-3.041386,
485.0,-2.559007,-2.841636,
490.0,-2.935991,-2.674086,
495.0,-3.176997,-2.579327,
500.0,-3.390917,-2.520339,-4.249857
505.0,-3.675387,-2.472932,-4.179713
510.0,-3.982761,-2.432964,-4.111405
515.0,,-2.386232,-4.042567
520.0,,-2.333839,-3.985588
525.0,,-2.269298,-3.954019
530.0,,-2.199766,-3.943241
535.0,,-2.127701,-3.966410
540.0,,-2.062189,-3.984820
545.0,,-2.009675,-3.964469
550.0,,-1.985795,-3.908500
555.0,,-2.024713,-3.782093
560.0,,-2.089652,-3.629387
565.0,,-2.145218,-3.498092
570.0,,-2.205277,-3.337183
575.0,,-2.254214,-3.090414
580.0,,-2.344072,-2.827778
585.0,,-2.734046,-2.594212
590.0,,-3.219505,-2.399623
595.0,,-3.639997,-2.280851
600.0,,-4.053543,-2.196374
605.0,,,-2.114901
610.0,,,-2.050271
615.0,,,-2.005508
620.0,,,-1.980292
625.0,,,-1.981778
630.0,,,-1.990623
635.0,,,-1.995975
640.0,,,-1.984354
645.0,,,-1.912785
650.0,,,-1.868144
655.0,,,-1.923864
660.0,,,-2.052945
665.0,,,-2.466440
670.0,,,-2.957532
675.0,,,-3.391710
680.0,,,
685.0,,,
690.0,,,
695.0,,,
700.0,,,
705.0,,,
710.0,,,
715.0,,,
720.0,,,
725.0,,,
730.0,,,
735.0,,,
740.0,,,
745.0,,,
750.0,,,
