log_exposure_lux_seconds,red_density,green_density,blue_density,red_diffuse_rms_granularity,green_diffuse_rms_granularity,blue_diffuse_rms_granularity
0.00,0.066107,0.066107,0.066107,,,
0.01,0.066107,0.066107,0.066107,0.002272,0.002159,0.007004
0.02,0.066107,0.066107,0.066107,0.002272,0.002154,0.007002
0.03,0.066107,0.066107,0.066107,0.002273,0.002148,0.007003
0.04,0.066107,0.066107,0.066107,0.002274,0.002143,0.007005
0.05,0.066107,0.066107,0.066107,0.002275,0.002138,0.007008
0.06,0.066107,0.066107,0.066107,0.002276,0.002133,0.007013
0.07,0.066107,0.066107,0.066107,0.002277,0.002129,0.007019
0.08,0.066107,0.066107,0.066107,0.002278,0.002124,0.007026
0.09,0.066107,0.066107,0.066107,0.002279,0.002120,0.007035
0.10,0.066107,0.066107,0.066107,0.002280,0.002115,0.007045
0.11,0.066107,0.066107,0.066107,0.002281,0.002111,0.007057
0.12,0.066107,0.066107,0.066107,0.002281,0.002107,0.007070
0.13,0.066107,0.066107,0.066107,0.002282,0.002104,0.007085
0.14,0.066107,0.066107,0.066107,0.002283,0.002100,0.007101
0.15,0.066107,0.066107,0.066107,0.002284,0.002096,0.007119
0.16,0.066107,0.066107,0.066107,0.002285,0.002093,0.007139
0.17,0.066107,0.066107,0.066107,0.002286,0.002090,0.007161
0.18,0.066107,0.066107,0.066107,0.002287,0.002087,0.007185
0.19,0.066107,0.066107,0.066107,0.002288,0.002085,0.007211
0.20,0.066107,0.066107,0.066107,0.002289,0.002082,0.007239
0.21,0.066107,0.066107,0.066107,0.002290,0.002080,0.007271
0.22,0.066107,0.066107,0.066107,0.002291,0.002078,0.007305
0.23,0.066107,0.066107,0.066107,0.002291,0.002077,0.007342
0.24,0.066107,0.066107,0.066107,0.002292,0.002076,0.007383
0.25,0.066107,0.066107,0.066107,0.002293,0.002075,0.007428
0.26,0.066107,0.066107,0.066107,0.002294,0.002075,0.007477
0.27,0.066107,0.066107,0.066107,0.002295,0.002076,0.007531
0.28,0.066107,0.066107,0.066107,0.002296,0.002077,0.007592
0.29,0.066107,0.066107,0.066107,0.002297,0.002080,0.007659
0.30,0.066107,0.066107,0.066107,0.002298,0.002084,0.007734
0.31,0.066107,0.066107,0.066107,0.002299,0.002090,0.007811
0.32,0.066107,0.066107,0.066107,0.002300,0.002098,0.007891
0.33,0.066107,0.066107,0.066107,0.002301,0.002107,0.007974
0.34,0.066107,0.066107,0.066107,0.002301,0.002117,0.008058
0.35,0.066107,0.066107,0.066107,0.002302,0.002129,0.008145
0.36,0.066107,0.066107,0.066107,0.002303,0.002141,0.008235
0.37,0.066075,0.066107,0.066107,0.002304,0.002155,0.008326
0.38,0.065936,0.066383,0.066674,0.002305,0.002169,0.008420
0.39,0.065822,0.066909,0.067746,0.002306,0.002184,0.008516
0.40,0.065727,0.067455,0.068848,0.002307,0.002200,0.008614
0.41,0.065649,0.068016,0.069975,0.002308,0.002217,0.008715
0.42,0.065588,0.068593,0.071126,0.002309,0.002235,0.008818
0.43,0.065543,0.069184,0.072300,0.002310,0.002254,0.008923
0.44,0.065514,0.069789,0.073496,0.002311,0.002273,0.009031
0.45,0.065500,0.070408,0.074714,0.002312,0.002293,0.009141
0.46,0.065503,0.071041,0.075954,0.002312,0.002314,0.009254
0.47,0.065521,0.071688,0.077216,0.002314,0.002336,0.009369
0.48,0.065555,0.072349,0.078501,0.002315,0.002358,0.009488
0.49,0.065606,0.073025,0.079809,0.002318,0.002382,0.009608
0.50,0.065674,0.073716,0.081140,0.002321,0.002405,0.009732
0.51,0.065760,0.074422,0.082495,0.002324,0.002430,0.009859
0.52,0.065863,0.075144,0.083874,0.002327,0.002456,0.009989
0.53,0.065984,0.075883,0.085279,0.002331,0.002482,0.010122
0.54,0.066126,0.076639,0.086712,0.002336,0.002509,0.010258
0.55,0.066287,0.077412,0.088172,0.002341,0.002537,0.010399
0.56,0.066468,0.078204,0.089660,0.002347,0.002565,0.010545
0.57,0.066673,0.079017,0.091179,0.002354,0.002595,0.010695
0.58,0.066900,0.079849,0.092731,0.002361,0.002625,0.010850
0.59,0.067151,0.080703,0.094315,0.002370,0.002657,0.011007
0.60,0.067428,0.081581,0.095933,0.002380,0.002688,0.011166
0.61,0.067732,0.082483,0.097591,0.002391,0.002714,0.011328
0.62,0.068064,0.083411,0.099289,0.002406,0.002740,0.011494
0.63,0.068428,0.084367,0.101027,0.002425,0.002766,0.011663
0.64,0.068825,0.085354,0.102813,0.002453,0.002793,0.011835
0.65,0.069257,0.086374,0.104649,0.002489,0.002821,0.012011
0.66,0.069727,0.087430,0.106536,0.002522,0.002848,0.012190
0.67,0.070241,0.088524,0.108481,0.002554,0.002876,0.012373
0.68,0.070799,0.089662,0.110492,0.002585,0.002905,0.012561
0.69,0.071408,0.090847,0.112573,0.002617,0.002933,0.012753
0.70,0.072071,0.092087,0.114732,0.002648,0.002963,0.012949
0.71,0.072798,0.093388,0.116978,0.002680,0.002992,0.013149
0.72,0.073597,0.094760,0.119324,0.002712,0.003022,0.013355
0.73,0.074476,0.096213,0.121784,0.002744,0.003053,0.013565
0.74,0.075449,0.097763,0.124376,0.002776,0.003084,0.013781
0.75,0.076532,0.099429,0.127127,0.002809,0.003115,0.014002
0.76,0.077752,0.101248,0.130066,0.002841,0.003147,0.014229
0.77,0.079137,0.103257,0.133253,0.002874,0.003180,0.014464
0.78,0.080736,0.105537,0.136744,0.002908,0.003214,0.014713
0.79,0.082625,0.108227,0.140676,0.002941,0.003248,0.014977
0.80,0.084955,0.111282,0.145282,0.002975,0.003282,0.015253
0.81,0.087852,0.114453,0.150761,0.003010,0.003318,0.015541
0.82,0.090793,0.117761,0.156234,0.003044,0.003355,0.015841
0.83,0.093696,0.121235,0.161555,0.003079,0.003394,0.016153
0.84,0.096591,0.124907,0.166747,0.003115,0.003434,0.016475
0.85,0.099514,0.128809,0.171853,0.003150,0.003478,0.016809
0.86,0.102501,0.132972,0.176923,0.003187,0.003530,0.017154
0.87,0.105588,0.137425,0.182026,0.003223,0.003591,0.017510
0.88,0.108817,0.142203,0.187242,0.003260,0.003654,0.017877
0.89,0.112225,0.147326,0.192659,0.003298,0.003720,0.018256
