spatial_frequency_cycles_per_mm,red_response_percent,green_response_percent,blue_response_percent
2,,,
3,107.270499,104.961132,104.024291
4,103.720186,96.936302,97.388343
5,101.047472,91.618928,92.534042
6,98.443164,88.644574,88.747958
7,95.142863,86.528528,87.375622
8,92.373580,85.570972,86.209060
9,89.997882,85.290727,84.958652
10,88.505114,84.803516,83.631585
11,87.304948,84.334579,82.213247
12,86.223499,83.900632,80.674988
13,85.240495,83.502698,78.959144
14,84.340370,83.138801,76.947441
15,83.510920,82.806405,74.604020
16,82.742407,82.503291,72.509457
17,82.026943,82.227715,70.674694
18,81.088289,81.978405,69.057253
19,80.019876,81.755146,67.621592
20,79.019294,81.558518,66.331090
21,78.079154,81.391033,65.110583
22,77.193176,81.258339,63.417025
23,76.355983,81.175112,61.778144
24,75.562935,81.193458,60.260614
25,74.810007,81.293921,58.845138
26,74.093680,81.332134,57.519430
27,73.410867,81.339950,56.273876
28,72.758843,81.329918,55.100503
29,72.135193,81.308378,53.992552
30,71.539437,81.278773,52.944146
31,70.971077,81.243580,51.950182
32,70.425066,81.204133,51.006166
33,69.899868,81.161606,50.108162
34,69.394092,81.116756,49.212595
35,68.906481,81.070139,48.329934
36,68.435891,81.022173,47.487312
37,67.981278,80.973175,46.681873
38,67.541690,80.923383,45.911036
39,67.116255,80.872927,45.172462
40,66.704169,80.821967,44.464024
41,66.304698,80.770507,43.783783
42,65.917159,80.718495,43.129970
43,65.540926,80.672276,42.500965
44,65.153286,80.818478,41.895282
45,64.770123,80.944859,41.311554
46,64.397561,81.054583,40.748524
47,64.035087,81.148524,40.205032
48,63.682220,81.226774,39.680005
49,63.338514,81.288675,39.172450
50,63.003552,81.333582,38.681447
51,62.676942,81.360155,38.223660
52,62.358319,81.366496,37.847704
53,62.047339,81.349856,37.482501
54,61.743680,81.306046,37.127552
55,61.447038,81.229102,36.782385
56,61.157128,81.108592,36.446560
57,60.873682,80.927306,36.119665
58,60.596445,80.644552,35.801312
59,60.325178,80.262353,35.491135
60,60.059654,79.829773,35.188791
61,59.799659,79.359081,34.893958
62,59.544990,78.858463,34.606329
63,59.295454,78.334510,34.325617
64,59.050870,77.791813,34.051549
65,58.811063,77.233506,33.783868
66,58.575869,76.662342,33.522331
67,58.345132,76.079497,33.266706
68,58.118702,75.485509,33.016774
69,57.896437,74.879140,32.772328
70,57.678202,74.256093,32.533170
71,57.463868,73.600525,32.299114
72,57.253312,72.833934,32.069979
73,57.046415,71.993696,31.845597
74,56.843066,71.128582,31.625806
75,56.643157,70.256314,31.410452
76,56.446585,69.385387,31.199388
77,56.253252,68.520147,30.992474
78,56.063062,67.662469,30.789576
79,,,
