wavelength_nm,visual_neutral_density,cyan_density,magenta_density,yellow_density
250,,,,
255,,,,
260,,,,
265,,,,
270,,,,
275,,,,
280,,,,
285,,,,
290,,,,
295,,,,
300,,,,
305,,,,
310,,,,
315,,,,
320,,,,
325,,,,
330,,,,
335,,,,
340,,,,
345,,,,
350,,,,
355,,,,
360,,,,
365,,0.24829373,,
370,1.13751292,0.24403347,0.07158469,0.25878841
375,1.06183308,0.24564383,0.06352533,0.24676801
380,0.98615323,0.24953303,0.05546598,0.23042988
385,0.90221357,0.25434378,0.04728772,0.20123217
390,0.83131622,0.25985537,0.03990290,0.18339194
395,0.77850797,0.26606360,0.03473146,0.18399371
400,0.74319178,0.27299120,0.03223368,0.18976832
405,0.72619719,0.28032108,0.03281483,0.20166379
410,0.72846981,0.28671247,0.03507965,0.22900360
415,0.74398224,0.28845924,0.03870524,0.26122374
420,0.77207592,0.28803395,0.04278197,0.30538202
425,0.81172774,0.28204823,0.04672900,0.35344376
430,0.85434424,0.27137679,0.05170324,0.40067594
435,0.89618669,0.25692757,0.05811155,0.45359096
440,0.93808877,0.23792297,0.06277905,0.50849687
445,0.97898866,0.21540377,0.06546259,0.56224265
450,1.01530550,0.19245695,0.07051424,0.62249099
455,1.04661361,0.16947537,0.07642784,0.67608349
460,1.07142580,0.14667899,0.08490914,0.71705357
465,1.08632628,0.12437493,0.08222560,0.75616833
470,1.08527564,0.10342674,0.07152335,0.78201434
475,1.07637937,0.08814552,0.06593479,0.79925324
480,1.06334543,0.07230508,0.06571996,0.80640529
485,1.04671558,0.05852174,0.06833194,0.80293607
490,1.02753471,0.05046643,0.07544566,0.79659050
495,1.00915934,0.04454318,0.09000536,0.77749637
500,0.99111620,0.03735916,0.10745221,0.74398827
505,0.96493419,0.03075361,0.12826289,0.71028386
510,0.93777670,0.02660606,0.15703062,0.65702909
515,0.91240983,0.02541795,0.19651035,0.60377432
520,0.88926857,0.02464997,0.23589619,0.55051955
525,0.86958276,0.02403642,0.27524956,0.49569311
530,0.85739367,0.02353647,0.31458332,0.43766169
535,0.85733054,0.02314792,0.36143738,0.37963027
540,0.86185407,0.02289891,0.42411379,0.32159886
545,0.87248494,0.02289318,0.48679021,0.26356744
550,0.89229703,0.02440560,0.54946662,0.21943808
555,0.91621206,0.02757221,0.61214303,0.18073820
560,0.94062333,0.03087609,0.67132333,0.14667665
565,0.96527090,0.03454875,0.72190539,0.12461528
570,0.99006652,0.03891290,0.75720577,0.10280531
575,1.01496675,0.04523242,0.78977401,0.08293507
580,1.03995100,0.05769428,0.82207472,0.07027638
585,1.06500665,0.07028646,0.84874833,0.06231913
590,1.09021678,0.08309157,0.86594640,0.05384741
595,1.11021134,0.09649862,0.87359800,0.04536850
600,1.12118232,0.11378056,0.86898600,0.03755220
605,1.12004714,0.13959727,0.85238069,0.03135916
610,1.10868651,0.16480468,0.82334246,0.02775963
615,1.08894921,0.18979012,0.77803715,0.02476162
620,1.05983775,0.21452593,0.72978738,0.02195869
625,1.02566200,0.24805446,0.67689260,0.01930905
630,0.99135369,0.28863961,0.60445036,0.01682207
635,0.95700306,0.33041570,0.53545999,0.01454349
640,0.92262681,0.37284807,0.46743408,0.01258724
645,0.89377640,0.41900654,0.39990477,0.01139687
650,0.87779169,0.46617861,0.33341423,0.01069774
655,0.87396562,0.51335068,0.27525714,0.00991895
660,0.88027557,0.56052274,0.22242105,0.00912425
665,0.89199138,0.60907349,0.17764124,0.00833135
670,0.91047302,0.65974878,0.15100244,0.00755052
675,0.93223656,0.71042406,0.13175507,0.00678956
680,0.96081362,0.76109935,0.11140792,0.00605693
685,0.99087813,0.81177463,0.09208463,0.00536332
690,1.02143384,0.86244992,0.07696560,0.00472419
695,1.05226237,0.90423165,0.06867599,0.00416418
700,1.08327389,0.93837877,0.05813415,0.00373474
705,1.11441651,0.97155645,0.04947178,0.00356443
710,1.14159169,1.00325253,0.04285743,0.00354730
715,1.16287562,1.03153973,0.03790928,0.00352112
720,1.17963136,1.05101053,0.03425719,0.00349236
725,1.18998306,1.06823102,0.03166228,0.00346281
730,1.19584514,1.07857994,0.02937345,0.00343339
735,1.19775701,1.08088373,0.02706876,0.00340478
740,1.19579229,1.07912259,0.02475166,0.00337736
745,1.18904580,1.07306329,0.02242445,0.00335155
750,1.17627233,1.06405533,0.02008872,0.00332775
755,1.15856556,1.05291527,0.01774542,0.00330679
760,1.13164985,1.03793226,0.01539556,0.00328897
765,1.10096824,1.00759913,0.01303977,0.00327494
770,1.06870258,0.97267061,0.01067799,0.00326554
775,1.03123565,0.93629779,0.00831009,0.00326215
780,0.98385138,0.89902627,0.00687276,0.00326752
785,0.93577792,0.86092959,0.00635987,0.00328324
790,0.88770447,0.82170375,0.00584697,0.00331745
795,0.83963101,0.77329171,0.00533408,0.00338306
800,0.79155755,0.71909451,0.00482119,0.00355150
805,0.74348409,0.66485084,0.00430830,0.00375886
810,0.69541064,0.61059794,0.00379540,0.00380479
815,0.64733718,0.55771299,0.00328251,0.00379132
820,0.59926372,0.51578902,0.00276962,0.00374311
825,0.55119026,0.47448065,0.00225673,0.00367212
830,0.50311680,0.43335657,0.00174383,0.00358298
835,0.45499243,0.39233871,0.00123094,0.00347964
840,0.41136197,0.35139928,0.00071805,0.00336338
845,,,0.00020516,
850,,,,
