wavelength_nm,yellow_forming_log_sensitivity,magenta_forming_log_sensitivity,cyan_forming_log_sensitivity,auxiliary_trace_a_log_sensitivity,auxiliary_trace_b_log_sensitivity
250,,,,,
255,,,,,
260,,,,,
265,,,,,
270,,,,,
275,,,,,
280,,,,,
285,,,,,
290,,,,,
295,,,,,
300,,,,,
305,,,,,
310,,,,,
315,,,,,
320,,,,,
325,,,,,
330,,,,,
335,,,,,
340,,,,,
345,,,,,
350,,,,,
355,,,,,
360,,,,,
365,0.02032677,,,,
370,-0.00867264,,,,
375,-0.05271200,,,-0.80184548,
380,-0.11960093,,,-0.89018467,
385,-0.18886148,,,-0.97550836,-1.86314075
390,-0.25002929,,,-1.12125996,
395,-0.31087967,,,-2.01579565,
400,-0.33762816,,,,
405,-0.30850978,,,,
410,-0.25781503,,,,
415,-0.19821929,,,,
420,-0.11453440,,,,
425,-0.00464133,,,,
430,0.10404691,,,,
435,0.15163449,,,,
440,0.21686384,,,,
445,0.29834652,,,,
450,0.41265898,-1.70316263,,,
455,0.52776759,-1.63750433,,,
460,0.60022158,-1.56884656,,,
465,0.66346043,-1.49369039,,,
470,0.56235067,-1.41832945,,,
475,0.32489937,-1.34270075,,,
480,-0.03997642,-1.26663424,,,
485,-0.56349888,-1.18945320,,,
490,-1.13971747,-1.10754248,,,
495,-1.58576245,-1.03277499,,,
500,-2.00500079,-0.97012038,,,
505,-2.49062198,-0.92636926,,,
510,,-0.91325915,,,
515,,-0.90625073,,,
520,,-0.89646440,,,
525,,-0.87719545,,,
530,,-0.81083511,,,
535,,-0.72167563,,,
540,,-0.61148103,,,
545,,-0.23930834,,,
550,,-0.14520422,,,
555,,-0.43897188,,,
560,,-0.79852256,,,
565,,-1.00830781,,,
570,,-1.22226392,,,
575,,-1.44781011,,,
580,,-1.81093565,,,
585,,-2.20285850,-2.77000819,,
590,,,-2.43662698,,
595,,,-2.37401995,,
600,,,-2.33813223,,
605,,,-2.27097975,,
610,,,-2.18551971,,
615,,,-2.08972283,,
620,,,-1.99363401,,
625,,,-1.89741225,,
630,,,-1.81805602,,
635,,,-1.77613602,,
640,,,-1.76341598,,
645,,,-1.75978240,,
650,,,-1.74922793,,
655,,,-1.70235384,,
660,,,-1.61259006,,
665,,,-1.50107827,,
670,,,-1.38943009,,
675,,,-1.29030345,,
680,,,-1.19843340,,
685,,,-1.12459721,,
690,,,-1.07519883,,
695,,,-1.08358266,,
700,,,-1.13744522,,
705,,,-1.22690600,,
710,,,-1.42137363,,
715,,,-1.62862538,,
720,,,-1.98969469,,
725,,,-2.63456959,,
730,,,,,
735,,,,,
740,,,,,
745,,,,,
750,,,,,
