log_relative_exposure,blue_density,green_density,red_density,blue_granularity_sigma_d,green_granularity_sigma_d,red_granularity_sigma_d
0.00,0.898266,0.611241,0.178619,0.003179,0.001931,0.001803
0.05,0.898752,0.611216,0.178201,0.003196,0.001935,0.001817
0.10,0.899253,0.611210,0.177808,0.003227,0.001943,0.001836
0.15,0.899768,0.611219,0.177439,0.003271,0.001956,0.001859
0.20,0.900297,0.611243,0.177091,0.003329,0.001974,0.001886
0.25,0.900840,0.611284,0.176768,0.003402,0.001997,0.001917
0.30,0.901401,0.611343,0.176471,0.003493,0.002026,0.001955
0.35,0.901982,0.611423,0.176205,0.003607,0.002063,0.002001
0.40,0.902587,0.611527,0.175974,0.003756,0.002111,0.002054
0.45,0.903223,0.611659,0.175786,0.003951,0.002173,0.002113
0.50,0.903902,0.611827,0.175653,0.004178,0.002234,0.002171
0.55,0.904645,0.612042,0.175591,0.004435,0.002239,0.002180
0.60,0.905501,0.612322,0.175634,0.004727,0.002223,0.002155
0.65,0.906724,0.612705,0.175849,0.005063,0.002209,0.002140
0.70,0.909586,0.613291,0.176454,0.005466,0.002223,0.002156
0.75,0.914553,0.614402,0.177816,0.006026,0.002308,0.002209
0.80,0.921814,0.615847,0.179539,0.006744,0.002538,0.002330
0.85,0.931677,0.617893,0.181796,0.007561,0.002826,0.002501
0.90,0.944763,0.621266,0.184906,0.008436,0.003151,0.002714
0.95,0.961047,0.627494,0.189513,0.009306,0.003510,0.002973
1.00,0.979085,0.639707,0.197451,0.010027,0.003902,0.003291
1.05,0.998646,0.654459,0.207829,0.010334,0.004325,0.003685
1.10,1.019563,0.670417,0.218412,0.010420,0.004777,0.004155
1.15,1.041714,0.688940,0.230179,0.010370,0.005248,0.004697
1.20,1.065006,0.711653,0.245496,0.010195,0.005709,0.005283
1.25,1.089364,0.737941,0.266618,0.009867,0.005981,0.005759
1.30,1.114119,0.765477,0.291934,0.009540,0.006004,0.005811
1.35,1.137136,0.792975,0.318835,0.009153,0.005943,0.005672
1.40,1.160047,0.819873,0.346145,0.008739,0.005838,0.005461
1.45,1.182991,0.846359,0.373642,0.008359,0.005703,0.005243
1.50,1.206013,0.872771,0.401209,0.008081,0.005539,0.005055
1.55,1.229150,0.899197,0.428813,0.008018,0.005322,0.004913
1.60,1.252445,0.925696,0.456442,0.008064,0.005117,0.004763
1.65,1.275968,0.952323,0.484092,0.008199,0.004933,0.004587
1.70,1.299845,0.979162,0.511760,0.008400,0.004774,0.004419
1.75,1.324384,1.006368,0.539448,0.008594,0.004644,0.004287
1.80,1.351301,1.034395,0.567166,0.008742,0.004547,0.004210
1.85,1.382056,1.065996,0.594712,0.008824,0.004469,0.004191
1.90,1.410754,1.096657,0.620895,0.008851,0.004405,0.004198
1.95,1.439008,1.126623,0.646635,0.008857,0.004355,0.004220
2.00,1.467032,1.156310,0.672184,0.008847,0.004323,0.004248
2.05,1.494912,1.185831,0.697623,0.008792,0.004320,0.004273
2.10,1.522693,1.215235,0.722993,0.008679,0.004330,0.004283
2.15,1.550406,1.244549,0.748322,0.008549,0.004338,0.004291
2.20,1.578082,1.273783,0.773641,0.008411,0.004340,0.004288
2.25,1.605844,1.302931,0.799014,0.008278,0.004335,0.004264
2.30,1.636814,1.331531,0.825776,0.008164,0.004321,0.004217
2.35,1.668197,1.359881,0.852826,0.008054,0.004299,0.004149
2.40,1.699622,1.388185,0.879498,0.007941,0.004280,0.004085
2.45,1.731067,1.416458,0.905999,0.007795,0.004267,0.004031
2.50,1.762519,1.444698,0.932407,0.007651,0.004261,0.003995
2.55,1.793607,1.472877,0.958779,0.007530,0.004260,0.003979
2.60,1.823669,1.501120,0.985228,0.007432,0.004265,0.003972
2.65,1.853647,1.530476,1.012856,0.007347,0.004277,0.003970
2.70,1.883593,1.560852,1.040694,0.007267,0.004300,0.003976
2.75,1.913517,1.592109,1.068525,0.007205,0.004322,0.003992
2.80,1.943425,1.624141,1.096351,0.007203,0.004322,0.004022
2.85,1.973318,1.656869,1.124174,0.007301,0.004317,0.004065
2.90,2.003193,1.690229,1.151996,0.007423,0.004309,0.004108
2.95,2.033046,1.724168,1.179819,0.007517,0.004299,0.004123
3.00,2.062846,1.758605,1.207650,0.007541,0.004288,0.004102
3.05,2.091544,1.791227,1.235506,0.007450,0.004276,0.004054
3.10,2.119422,1.822365,1.263823,0.007386,0.004265,0.003988
3.15,2.147166,1.853687,1.291918,0.007340,0.004255,0.003913
3.20,2.174843,1.885089,1.319872,0.007307,0.004249,0.003841
3.25,2.202476,1.916541,1.347760,0.007285,0.004255,0.003777
3.30,2.230074,1.948032,1.375607,0.007279,0.004267,0.003717
3.35,2.257920,1.977991,1.403422,0.007276,0.004280,0.003660
3.40,2.285970,2.007179,1.431300,0.007262,0.004295,0.003606
3.45,2.314019,2.036367,1.459305,0.007225,0.004310,0.003553
3.50,2.342068,2.065555,1.487310,0.007163,0.004323,0.003499
3.55,2.370118,2.094743,1.515315,0.007082,0.004335,0.003441
3.60,2.398167,2.123931,1.543138,0.006985,0.004343,0.003370
3.65,2.426217,2.153119,1.570195,0.006874,0.004338,0.003312
3.70,2.454136,2.181234,1.597253,0.006748,0.004314,0.003258
3.75,2.481945,2.209317,1.624339,0.006601,0.004277,0.003206
3.80,2.509722,2.237311,1.651480,0.006434,0.004231,0.003156
3.85,2.537429,2.265127,1.678652,0.006269,0.004177,0.003106
3.90,2.564923,2.292465,1.703758,0.006111,0.004116,0.003055
3.95,2.590562,2.319181,1.727043,0.005960,0.004047,0.003002
4.00,2.614478,2.345292,1.749152,0.005819,0.003966,0.002939
4.05,2.637271,2.370731,1.770384,0.005689,0.003845,0.002866
4.10,2.659200,2.395328,1.790884,0.005581,0.003712,0.002793
4.15,2.680371,2.418725,1.810689,0.005507,0.003589,0.002724
4.20,2.700764,2.440040,1.829656,0.005437,0.003485,0.002659
4.25,2.720104,2.458593,1.846350,0.005368,0.003414,0.002600
4.30,2.737152,2.476510,1.861242,0.005299,0.003398,0.002548
4.35,2.752171,2.493463,1.875038,0.005220,0.003398,0.002504
4.40,2.765764,2.509340,1.887952,0.005142,0.003400,0.002473
4.45,2.778163,2.524093,1.900075,0.005070,0.003402,0.002444
4.50,2.789492,2.537680,1.911449,0.004956,0.003405,0.002403
4.55,2.799828,2.550065,1.922086,0.004745,0.003408,0.002357
4.60,2.809220,2.561206,1.931986,0.004559,0.003411,0.002307
4.65,2.817704,2.571056,1.941131,0.004394,0.003415,0.002266
4.70,2.825302,2.579597,1.949510,0.004250,0.003418,0.002244
4.75,2.832141,2.587488,1.957402,0.004151,0.003411,0.002234
