cycles_per_mm,blue_mtf_percent,green_mtf_percent,red_mtf_percent
1.000000,,,
1.023293,,,
1.047129,,,
1.071519,,,
1.096478,,,
1.122018,,,
1.148154,,,
1.174898,,,
1.202264,,,
1.230269,,,
1.258925,,,
1.288250,,,
1.318257,,,
1.348963,,,
1.380384,,,
1.412538,,,
1.445440,,,
1.479108,,,
1.513561,,,
1.548817,,,
1.584893,,,
1.621810,,,
1.659587,,,
1.698244,,,
1.737801,,,
1.778279,,,
1.819701,,,
1.862087,,,
1.905461,,,
1.949845,,,
1.995262,,,
2.041738,,,
2.089296,,,
2.137962,,,
2.187762,,,
2.238721,,,
2.290868,,,
2.344229,,,
2.398833,,,
2.454709,,,
2.511886,,,
2.570396,97.774170,99.686089,99.699729
2.630268,97.563129,99.440081,99.500419
2.691535,97.353396,99.198207,99.303613
2.754229,97.144893,98.960075,99.109054
2.818383,96.937587,98.725563,98.916634
2.884032,96.731463,98.494608,98.726296
2.951209,96.526518,98.267250,98.538014
3.019952,96.322772,98.043545,98.351799
3.090295,96.120229,97.823621,98.167673
3.162278,95.918928,97.607590,97.985658
3.235937,95.718893,97.395694,97.805793
3.311311,95.520162,97.188109,97.628153
3.388442,95.322783,96.985116,97.452799
3.467369,95.126810,96.787048,97.279804
3.548134,94.932309,96.594308,97.109269
3.630781,94.739358,96.407407,96.941317
3.715352,94.548049,96.226967,96.776075
3.801894,94.358499,96.053717,96.613687
3.890451,94.170836,95.888596,96.454328
3.981072,93.985220,95.732954,96.298201
4.073803,93.801851,95.588385,96.145542
4.168694,93.620999,95.457368,95.996632
4.265795,93.442974,95.343211,95.851799
4.365158,93.268183,95.251368,95.711482
4.466836,93.097248,95.190988,95.576151
4.570882,92.930951,95.179846,95.446366
4.677351,92.770532,95.222282,95.323001
4.786301,92.617967,95.295399,95.206931
4.897788,92.476883,95.387993,95.099505
5.011872,92.355413,95.494182,95.002545
5.128614,92.283882,95.610555,94.918570
5.248075,92.278464,95.734872,94.851482
5.370318,92.268524,95.865557,94.807646
5.495409,92.256912,96.001496,94.800449
5.623413,92.244577,96.141790,94.848662
5.754399,92.231974,96.285758,94.936712
5.888437,92.219374,96.432822,95.051100
6.025596,92.206965,96.582508,95.184283
6.165950,92.194887,96.734446,95.331182
6.309573,92.183270,96.888251,95.488373
6.456542,92.172215,97.043633,95.653407
6.606934,92.161847,97.200281,95.824260
6.760830,92.152269,97.357943,95.999424
6.918310,92.143604,97.516341,96.177629
7.079458,92.136009,97.675223,96.357789
7.244360,92.129629,97.834327,96.538951
7.413102,92.124656,97.993379,96.720266
7.585776,92.121349,98.152094,96.900962
7.762471,92.119980,98.310151,97.080292
7.943282,92.120961,98.467210,97.257553
8.128305,92.124824,98.622854,97.432078
8.317638,92.132310,98.776610,97.603118
8.511380,92.144615,98.927911,97.770053
8.709636,92.163596,99.076046,97.932059
8.912509,92.192905,99.220052,98.088482
9.120108,92.241415,99.358750,98.238415
9.332543,92.320740,99.490332,98.381077
9.549926,92.332746,99.612160,98.515468
9.772372,92.261369,99.719958,98.640548
10.000000,92.113487,99.805563,98.755234
10.232930,91.895369,99.849203,98.858070
10.471285,91.612775,99.839194,98.947642
10.715193,91.270760,99.809854,99.022228
10.964782,90.873965,99.766638,99.079773
11.220185,90.426252,99.712226,99.117842
11.481536,89.931563,99.648376,99.133521
11.748976,89.393347,99.576081,99.123209
12.022644,88.814683,99.496046,99.082098
12.302688,88.198845,99.408604,99.004433
12.589254,87.573804,99.313806,98.882118
12.882496,86.951777,99.211671,98.703971
13.182567,86.329962,99.101729,98.452894
13.489629,85.706232,98.983558,98.101701
13.803843,85.078568,98.856248,97.600565
14.125375,84.444505,98.718425,96.896878
14.454398,83.800628,98.568029,96.166106
14.791084,83.141710,98.401924,95.440845
15.135612,82.458366,98.214368,94.721054
15.488166,81.730299,97.994165,94.006691
15.848932,80.888701,97.711495,93.297716
16.218101,79.956564,97.219930,92.594088
16.595869,79.030548,96.445958,91.754072
16.982437,78.109328,95.533643,90.697702
17.378008,77.191871,94.543408,89.628610
17.782794,76.277358,93.505440,88.549963
18.197009,75.365096,92.437200,87.462627
18.620871,74.454298,91.350245,86.366791
19.054607,73.544435,90.252468,85.261922
19.498446,72.634802,89.149689,84.147067
19.952623,71.724673,88.046195,83.020876
20.417379,70.813399,86.945620,81.881641
20.892961,69.900195,85.850691,80.726860
21.379621,68.984197,84.760261,79.552813
21.877616,68.064311,83.629147,78.355520
22.387211,67.139512,82.467526,77.129147
22.908677,66.208534,81.291992,75.864097
23.442288,65.269783,80.111271,74.548325
23.988329,64.321324,78.930773,73.160374
24.547089,63.361053,77.753745,71.673820
25.118864,62.386022,76.582665,70.191955
25.703958,61.397671,75.418951,68.745592
26.302680,60.433715,74.263785,67.325581
26.915348,59.490068,73.117925,65.926016
27.542287,58.562686,71.981746,64.542518
28.183829,57.650036,70.855396,63.171586
28.840315,56.751260,69.738832,61.809965
29.512092,55.865774,68.631578,60.454497
30.199517,54.993117,67.532663,59.101956
30.902954,54.132907,66.440328,57.748684
31.622777,53.284780,65.351046,56.390393
