camera_stops,log_exposure_lux_seconds,curve_high_density,curve_mid_density,curve_low_density
-8.000000,-3.033000,0.857683,0.583368,0.173877
-7.900000,-3.001525,0.856834,0.583368,0.173877
-7.800000,-2.970050,0.855623,0.583368,0.173877
-7.700000,-2.938575,0.854552,0.583368,0.173877
-7.600000,-2.907100,0.853610,0.583368,0.173877
-7.500000,-2.875625,0.852796,0.583368,0.173877
-7.400000,-2.844150,0.852114,0.583368,0.173877
-7.300000,-2.812675,0.851570,0.583368,0.173877
-7.200000,-2.781200,0.851175,0.583368,0.173877
-7.100000,-2.749725,0.850943,0.583368,0.173877
-7.000000,-2.718250,0.850887,0.583368,0.173877
-6.900000,-2.686775,0.851033,0.583368,0.173877
-6.800000,-2.655300,0.851406,0.583368,0.173854
-6.700000,-2.623825,0.852042,0.583368,0.173597
-6.600000,-2.592350,0.852991,0.583368,0.173424
-6.500000,-2.560875,0.854321,0.583368,0.173407
-6.400000,-2.529400,0.856129,0.583368,0.173623
-6.300000,-2.497925,0.858524,0.583368,0.174153
-6.200000,-2.466450,0.861056,0.583217,0.175075
-6.100000,-2.434975,0.863605,0.583704,0.176463
-6.000000,-2.403500,0.866249,0.585281,0.178384
-5.900000,-2.372025,0.869086,0.587691,0.180899
-5.800000,-2.340550,0.872232,0.590825,0.184050
-5.700000,-2.309075,0.875810,0.594618,0.187870
-5.600000,-2.277600,0.879948,0.599027,0.192382
-5.500000,-2.246125,0.884753,0.604021,0.197591
-5.400000,-2.214650,0.890311,0.609579,0.203266
-5.300000,-2.183175,0.896667,0.615718,0.209248
-5.200000,-2.151700,0.903829,0.622439,0.215573
-5.100000,-2.120225,0.911773,0.629741,0.222278
-5.000000,-2.088750,0.920451,0.637629,0.229403
-4.900000,-2.057275,0.929802,0.646124,0.236988
-4.800000,-2.025800,0.939756,0.655260,0.245076
-4.700000,-1.994325,0.950852,0.665110,0.253715
-4.600000,-1.962850,0.962892,0.675829,0.262952
-4.500000,-1.931375,0.975498,0.687872,0.272846
-4.400000,-1.899900,0.988539,0.702689,0.283455
-4.300000,-1.868425,1.001956,0.717453,0.294853
-4.200000,-1.836950,1.015714,0.732142,0.307113
-4.100000,-1.805475,1.029797,0.747000,0.320328
-4.000000,-1.774000,1.044196,0.762136,0.334459
-3.900000,-1.742525,1.058909,0.777607,0.349164
-3.800000,-1.711050,1.073938,0.793449,0.364262
-3.700000,-1.679575,1.089287,0.809682,0.379650
-3.600000,-1.648100,1.104969,0.826321,0.395262
-3.500000,-1.616625,1.120881,0.843182,0.411052
-3.400000,-1.585150,1.136836,0.860161,0.426988
-3.300000,-1.553675,1.152827,0.877243,0.443042
-3.200000,-1.522200,1.168851,0.894418,0.459194
-3.100000,-1.490725,1.184906,0.911675,0.475428
-3.000000,-1.459250,1.200988,0.929008,0.491728
-2.900000,-1.427775,1.217096,0.946412,0.508080
-2.800000,-1.396300,1.233228,0.963883,0.524470
-2.700000,-1.364825,1.249382,0.981418,0.540882
-2.600000,-1.333350,1.265557,0.999019,0.557299
-2.500000,-1.301875,1.281752,1.016689,0.573698
-2.400000,-1.270400,1.297965,1.034327,0.590043
-2.300000,-1.238925,1.314195,1.051708,0.606260
-2.200000,-1.207450,1.330442,1.069090,0.621863
-2.100000,-1.175975,1.346706,1.086471,0.636974
-2.000000,-1.144500,1.362984,1.103852,0.651802
-1.900000,-1.113025,1.379276,1.121233,0.666444
-1.800000,-1.081550,1.395583,1.138614,0.680952
-1.700000,-1.050075,1.411903,1.155996,0.695360
-1.600000,-1.018600,1.428236,1.173377,0.709691
-1.500000,-0.987125,1.444582,1.190758,0.723960
-1.400000,-0.955650,1.460940,1.208139,0.738182
-1.300000,-0.924175,1.477310,1.225520,0.752366
-1.200000,-0.892700,1.493691,1.242901,0.766522
-1.100000,-0.861225,1.510084,1.260283,0.780655
-1.000000,-0.829750,1.526489,1.277664,0.794775
-0.900000,-0.798275,1.542905,1.295045,0.808888
-0.800000,-0.766800,1.559332,1.312426,0.823001
-0.700000,-0.735325,1.575771,1.329836,0.837122
-0.600000,-0.703850,1.592222,1.347468,0.851262
-0.500000,-0.672375,1.608685,1.365099,0.865431
-0.400000,-0.640900,1.625162,1.382731,0.879648
-0.300000,-0.609425,1.641657,1.400363,0.893935
-0.200000,-0.577950,1.658484,1.417994,0.908336
-0.100000,-0.546475,1.675408,1.435626,0.922931
-0.000000,-0.515000,1.692332,1.453258,0.937792
0.100000,-0.483525,1.709256,1.470890,0.952706
0.200000,-0.452050,1.726180,1.488521,0.967634
0.300000,-0.420575,1.743104,1.506153,0.982572
0.400000,-0.389100,1.760028,1.523785,0.997515
0.500000,-0.357625,1.776952,1.541416,1.012463
0.600000,-0.326150,1.793876,1.559048,1.027413
0.700000,-0.294675,1.810801,1.576680,1.042367
0.800000,-0.263200,1.827725,1.594312,1.057322
0.900000,-0.231725,1.844649,1.611943,1.072280
1.000000,-0.200250,1.861573,1.629575,1.087239
1.100000,-0.168775,1.878497,1.647207,1.102199
1.200000,-0.137300,1.895421,1.664838,1.117161
1.300000,-0.105825,1.912345,1.682470,1.132123
1.400000,-0.074350,1.929269,1.700102,1.147087
1.500000,-0.042875,1.946193,1.717734,1.162052
1.600000,-0.011400,1.963322,1.735365,1.177017
1.700000,0.020075,1.980713,1.752997,1.191984
1.800000,0.051550,1.998103,1.770629,1.206951
1.900000,0.083025,2.015493,1.788261,1.221918
2.000000,0.114500,2.032883,1.805892,1.236887
2.100000,0.145975,2.050273,1.823231,1.251855
2.200000,0.177450,2.067664,1.840554,1.266825
2.300000,0.208925,2.085054,1.857877,1.281795
2.400000,0.240400,2.102444,1.875201,1.296765
2.500000,0.271875,2.119834,1.892524,1.311736
2.600000,0.303350,2.137224,1.909847,1.326708
2.700000,0.334825,2.154615,1.927170,1.341680
2.800000,0.366300,2.172005,1.944493,1.356652
2.900000,0.397775,2.189395,1.961816,1.371625
3.000000,0.429250,2.206785,1.979139,1.386599
3.100000,0.460725,2.224175,1.996462,1.401573
3.200000,0.492200,2.241566,2.013785,1.416547
3.300000,0.523675,2.258956,2.031066,1.431242
3.400000,0.555150,2.276346,2.048000,1.445619
3.500000,0.586625,2.293736,2.064912,1.459932
3.600000,0.618100,2.311126,2.081803,1.474184
3.700000,0.649575,2.328516,2.098675,1.488377
3.800000,0.681050,2.345907,2.115527,1.502510
3.900000,0.712525,2.362724,2.132358,1.516578
4.000000,0.744000,2.378088,2.149166,1.530578
4.100000,0.775475,2.393420,2.165949,1.544504
4.200000,0.806950,2.408723,2.182703,1.558347
4.300000,0.838425,2.423996,2.199424,1.572098
4.400000,0.869900,2.439238,2.216107,1.585745
4.500000,0.901375,2.454447,2.232743,1.599271
4.600000,0.932850,2.469619,2.249322,1.612653
4.700000,0.964325,2.484749,2.265826,1.625860
4.800000,0.995800,2.499831,2.282226,1.638847
4.900000,1.027275,2.514856,2.298467,1.651543
5.000000,1.058750,2.529811,2.314411,1.663825
5.100000,1.090225,2.544676,2.329479,1.675449
5.200000,1.121700,2.559423,2.343348,1.686202
5.300000,1.153175,2.573993,2.356614,1.696372
5.400000,1.184650,2.588268,2.369510,1.706066
5.500000,1.216125,2.601840,2.382142,1.715363
5.600000,1.247600,2.614213,2.394567,1.724323
5.700000,1.279075,2.625856,2.406820,1.732997
5.800000,1.310550,2.637034,2.418919,1.741424
5.900000,1.342025,2.647878,2.430877,1.749643
6.000000,1.373500,2.658461,2.442698,1.757692
6.100000,1.404975,2.668829,2.454379,1.765622
6.200000,1.436450,2.679009,2.465910,1.773518
6.300000,1.467925,2.689020,2.477267,1.781657
6.400000,1.499400,2.698867,2.488404,1.790031
6.500000,1.530875,2.708550,2.499221,1.797066
6.600000,1.562350,2.718052,2.509394,1.803838
6.700000,1.593825,2.727330,2.518610,1.810488
6.800000,1.625300,2.736248,2.527352,1.817061
6.900000,1.656775,2.744459,2.535827,1.823582
7.000000,1.688250,2.752252,2.544122,1.830062
7.100000,1.719725,2.759766,2.552285,1.836510
7.200000,1.751200,2.767063,2.560345,1.842932
7.300000,1.782675,2.774183,2.568319,1.849331
7.400000,1.814150,2.781154,2.576223,1.855710
7.500000,1.845625,2.787995,2.584064,1.862072
7.600000,1.877100,2.794721,2.591850,1.868417
7.700000,1.908575,2.801341,2.599582,1.874746
7.800000,1.940050,2.807858,2.607263,1.881058
7.900000,1.971525,2.814269,2.614808,1.884202
8.000000,2.003000,2.817664,2.614808,1.884202
