wavelength_nm,minimum_density,midscale_neutral_density,cyan_peak_normalized,magenta_peak_normalized,yellow_peak_normalized,source_spacing_nm,working_spacing_nm
400.0,,,0.231706,0.000000,0.479840,10,5
405.0,0.677523,1.162908,0.222659,0.000000,0.524380,10,5
410.0,0.693140,1.191396,0.203886,0.000000,0.588832,10,5
415.0,0.724801,1.258779,0.178510,0.000000,0.663318,10,5
420.0,0.762014,1.340787,0.156363,0.000000,0.748739,10,5
425.0,0.795865,1.416004,0.135575,0.000000,0.826006,10,5
430.0,0.818843,1.476687,0.116525,0.000000,0.887562,10,5
435.0,0.836565,1.518787,0.102251,0.000000,0.943578,10,5
440.0,0.849345,1.545063,0.089288,0.000000,0.979552,10,5
445.0,0.854648,1.551170,0.077153,0.000000,0.997006,10,5
450.0,0.847097,1.542786,0.066438,0.000000,1.000000,10,5
455.0,0.829624,1.523425,0.058761,0.002992,0.984629,10,5
460.0,0.812606,1.493520,0.054744,0.017620,0.949547,10,5
465.0,0.801486,1.461321,0.050037,0.039721,0.884928,10,5
470.0,0.790775,1.428628,0.045278,0.073609,0.817737,10,5
475.0,0.778386,1.393677,0.040847,0.124611,0.739236,10,5
480.0,0.759634,1.354948,0.037258,0.191126,0.652945,10,5
485.0,0.723923,1.310252,0.035221,0.266352,0.562103,10,5
490.0,0.688168,1.263890,0.033415,0.352646,0.475076,10,5
495.0,0.661464,1.228310,0.032526,0.438204,0.401143,10,5
500.0,0.637816,1.215524,0.033194,0.523533,0.330108,10,5
505.0,0.634949,1.228961,0.035567,0.609759,0.266161,10,5
510.0,0.636796,1.252382,0.039414,0.695985,0.216710,10,5
515.0,0.624970,1.265920,0.044385,0.782211,0.176740,10,5
520.0,0.599280,1.270999,0.050375,0.848652,0.143813,10,5
525.0,0.573775,1.272209,0.057351,0.911697,0.117364,10,5
530.0,0.554842,1.275927,0.065382,0.963550,0.096088,10,5
535.0,0.548228,1.282755,0.075264,0.994864,0.078730,10,5
540.0,0.544481,1.279127,0.087872,1.000000,0.064804,10,5
545.0,0.543962,1.271539,0.103005,0.981347,0.054755,10,5
550.0,0.546294,1.252437,0.120240,0.939692,0.047125,10,5
555.0,0.548972,1.213980,0.138431,0.875963,0.040598,10,5
560.0,0.551190,1.161285,0.156544,0.786423,0.034875,10,5
565.0,0.547451,1.108916,0.176435,0.697614,0.029921,10,5
570.0,0.534091,1.042762,0.197687,0.598558,0.025906,10,5
575.0,0.512251,0.974126,0.221173,0.506874,0.023561,10,5
580.0,0.469521,0.903251,0.253932,0.424693,0.022872,10,5
585.0,0.410492,0.829936,0.293591,0.359855,0.022226,10,5
590.0,0.345329,0.755107,0.335739,0.299029,0.021615,10,5
595.0,0.279023,0.689629,0.380022,0.248573,0.021043,10,5
600.0,0.232859,0.645734,0.428842,0.209391,0.020514,10,5
605.0,0.198439,0.629730,0.475983,0.178462,0.020036,10,5
610.0,0.164885,0.625009,0.522051,0.152828,0.019624,10,5
615.0,0.150315,0.631298,0.567699,0.131751,0.019301,10,5
620.0,0.140706,0.645909,0.613084,0.115350,0.019111,10,5
625.0,0.137006,0.664696,0.658162,0.101545,0.019168,10,5
630.0,0.136008,0.686208,0.702964,0.090180,0.020088,10,5
635.0,0.136032,0.709870,0.747617,0.081321,0.021275,10,5
640.0,0.136865,0.733338,0.791824,0.074815,0.021133,10,5
645.0,0.137698,0.755352,0.829785,0.070384,0.020559,10,5
650.0,0.138531,0.776840,0.864579,0.066900,0.019735,10,5
655.0,0.139364,0.797565,0.897838,0.063802,0.018726,10,5
660.0,0.140197,0.816789,0.927738,0.060935,0.017773,10,5
665.0,0.141030,0.831764,0.954381,0.058230,0.016952,10,5
670.0,0.141863,0.843521,0.974799,0.055649,0.016142,10,5
675.0,0.142695,0.852351,0.988258,0.053174,0.015344,10,5
680.0,0.143528,0.857557,0.996893,0.050792,0.014561,10,5
685.0,0.142051,0.857870,1.000000,0.048500,0.013798,10,5
690.0,0.140481,0.853240,0.994959,0.046303,0.013067,10,5
695.0,0.139015,0.844217,0.985395,0.044223,0.012396,10,5
700.0,0.137680,0.830589,0.967875,0.042190,0.011976,10,5
705.0,0.136535,0.811833,0.942577,0.040155,0.011598,10,5
710.0,0.135722,0.788403,0.910416,0.038120,0.011144,10,5
715.0,0.135395,0.760906,0.872370,0.036084,0.010664,10,5
720.0,0.133973,0.730493,0.826454,0.034048,0.010171,10,5
725.0,0.130908,0.696611,0.779544,0.032012,0.009668,10,5
730.0,0.126763,0.660327,0.733903,0.029975,0.009158,10,5
735.0,0.123838,0.624163,0.686041,0.027939,0.008643,10,5
740.0,0.122145,0.588487,0.632694,0.025902,0.008124,10,5
745.0,0.122031,0.553383,0.576827,0.023865,0.007600,10,5
750.0,0.122031,0.518690,0.524876,0.021828,0.007074,10,5
755.0,0.126162,0.484331,0.472925,0.019790,0.006543,10,5
760.0,0.131432,0.458352,0.433814,0.018551,0.006219,10,5
765.0,,,,,,10,5
770.0,,,,,,10,5
775.0,,,,,,10,5
780.0,,,,,,10,5
785.0,,,,,,10,5
790.0,,,,,,10,5
795.0,,,,,,10,5
800.0,,,,,,10,5
