wavelength_nm,yellow_forming_layer,magenta_forming_layer,cyan_forming_layer
250.0,,,
255.0,,,
260.0,,,
265.0,,,
270.0,,,
275.0,,,
280.0,,,
285.0,,,
290.0,,,
295.0,,,
300.0,,,
305.0,,,
310.0,,,
315.0,,,
320.0,,,
325.0,,,
330.0,,,
335.0,,,
340.0,,,
345.0,,,
350.0,,,
355.0,,,
360.0,1.117460,,
365.0,1.202124,,
370.0,1.291343,,
375.0,1.392295,,
380.0,1.539907,,
385.0,1.699020,,
390.0,1.858365,,
395.0,2.006068,,
400.0,2.111887,,
405.0,2.148714,,
410.0,2.158231,,
415.0,2.147387,,
420.0,2.147433,,
425.0,2.165294,,
430.0,2.183692,,
435.0,2.199612,,
440.0,2.196887,,
445.0,2.181801,,
450.0,2.199610,,
455.0,2.230145,,
460.0,2.293792,,
465.0,2.356499,,
470.0,2.306491,,
475.0,2.191441,,
480.0,1.921333,1.163197,
485.0,1.459876,1.382442,
490.0,1.182776,1.548702,
495.0,1.040087,1.637987,
500.0,,1.714990,
505.0,,1.766764,
510.0,,1.819733,
515.0,,1.873860,
520.0,,1.932210,
525.0,,1.991380,
530.0,,2.050464,
535.0,,2.108932,
540.0,,2.159608,
545.0,,2.191985,
550.0,,2.169365,
555.0,,2.114807,
560.0,,2.064840,
565.0,,2.013861,
570.0,,1.960417,
575.0,,1.891161,1.173924
580.0,,1.705640,1.378320
585.0,,1.388757,1.553514
590.0,,,1.703079
595.0,,,1.797384
600.0,,,1.877658
605.0,,,1.929043
610.0,,,1.951092
615.0,,,1.953331
620.0,,,1.973567
625.0,,,2.015299
630.0,,,2.058860
635.0,,,2.102092
640.0,,,2.139695
645.0,,,2.158019
650.0,,,2.141564
655.0,,,2.098159
660.0,,,1.975636
665.0,,,1.661231
670.0,,,1.343535
675.0,,,1.025839
680.0,,,
685.0,,,
690.0,,,
695.0,,,
700.0,,,
705.0,,,
710.0,,,
715.0,,,
720.0,,,
725.0,,,
730.0,,,
735.0,,,
740.0,,,
745.0,,,
750.0,,,
