log_relative_exposure,blue_density,green_density,red_density,blue_granularity_sigma_d,green_granularity_sigma_d,red_granularity_sigma_d
-3.00,0.977145,0.715953,0.265121,0.009269,0.005914,0.007372
-2.95,0.978518,0.716538,0.266263,0.009704,0.005982,0.007608
-2.90,0.979896,0.717094,0.267374,0.010161,0.006050,0.007852
-2.85,0.981439,0.717813,0.268678,0.010630,0.006126,0.008098
-2.80,0.983320,0.718900,0.270414,0.011099,0.006219,0.008340
-2.75,0.985550,0.720426,0.272649,0.011556,0.006338,0.008563
-2.70,0.987723,0.722052,0.274933,0.012006,0.006476,0.008754
-2.65,0.990274,0.724119,0.277687,0.012447,0.006635,0.008936
-2.60,0.993736,0.727036,0.281432,0.012879,0.006818,0.009141
-2.55,0.998575,0.731156,0.286615,0.013304,0.007025,0.009402
-2.50,1.004601,0.735996,0.292874,0.013721,0.007273,0.009750
-2.45,1.011434,0.741138,0.299774,0.014127,0.007564,0.010176
-2.40,1.019472,0.747409,0.307967,0.014523,0.007880,0.010643
-2.35,1.029095,0.755591,0.318076,0.014911,0.008200,0.011106
-2.30,1.040656,0.766416,0.330678,0.015291,0.008502,0.011517
-2.25,1.054043,0.779869,0.345741,0.015657,0.008801,0.011862
-2.20,1.068953,0.795361,0.362669,0.016004,0.009119,0.012171
-2.15,1.085368,0.812722,0.381466,0.016345,0.009424,0.012453
-2.10,1.103326,0.831857,0.402204,0.016694,0.009681,0.012715
-2.05,1.122923,0.852733,0.425028,0.017065,0.009850,0.012968
-2.00,1.144495,0.875667,0.450189,0.017482,0.009888,0.013241
-1.95,1.168421,0.901348,0.478054,0.017952,0.009802,0.013559
-1.90,1.194080,0.928880,0.508066,0.018442,0.009636,0.013857
-1.85,1.220758,0.957204,0.539552,0.018911,0.009434,0.014056
-1.80,1.247713,0.985227,0.571804,0.019314,0.009240,0.014074
-1.75,1.274573,1.012347,0.604762,0.019622,0.009075,0.013846
-1.70,1.302053,1.039520,0.639610,0.019867,0.008894,0.013409
-1.65,1.330146,1.066866,0.675583,0.020047,0.008705,0.012837
-1.60,1.358763,1.094419,0.711725,0.020158,0.008521,0.012202
-1.55,1.387797,1.122205,0.747090,0.020202,0.008351,0.011572
-1.50,1.417126,1.150243,0.781230,0.020160,0.008203,0.010951
-1.45,1.446887,1.178651,0.815175,0.020023,0.008071,0.010275
-1.40,1.477010,1.207198,0.848709,0.019828,0.007945,0.009608
-1.35,1.507403,1.235631,0.881499,0.019608,0.007819,0.009001
-1.30,1.537980,1.263694,0.913199,0.019395,0.007685,0.008492
-1.25,1.568776,1.291332,0.943473,0.019196,0.007533,0.008094
-1.20,1.600083,1.318842,0.972393,0.018950,0.007354,0.007748
-1.15,1.631652,1.346053,1.000280,0.018697,0.007170,0.007458
-1.10,1.663171,1.372788,1.027476,0.018486,0.007007,0.007232
-1.05,1.694334,1.398876,1.054327,0.018362,0.006886,0.007077
-1.00,1.724866,1.424113,1.080944,0.018378,0.006828,0.007008
-0.95,1.754833,1.448333,1.106797,0.018567,0.006833,0.007043
-0.90,1.784536,1.471924,1.132201,0.018848,0.006874,0.007146
-0.85,1.814269,1.495312,1.157539,0.019128,0.006924,0.007276
-0.80,1.844329,1.518924,1.183194,0.019307,0.006953,0.007389
-0.75,1.875044,1.543195,1.209513,0.019287,0.006932,0.007443
-0.70,1.906663,1.568249,1.236557,0.019055,0.006859,0.007455
-0.65,1.938773,1.593626,1.264012,0.018700,0.006759,0.007446
-0.60,1.970841,1.618802,1.291442,0.018316,0.006658,0.007431
-0.55,2.002322,1.643244,1.318406,0.017996,0.006581,0.007424
-0.50,2.032695,1.666426,1.344483,0.017821,0.006552,0.007437
-0.45,2.061981,1.688198,1.369740,0.017801,0.006576,0.007470
-0.40,2.090563,1.709061,1.394437,0.017863,0.006633,0.007514
-0.35,2.118811,1.729601,1.418786,0.017934,0.006698,0.007561
-0.30,2.147098,1.750407,1.443004,0.017936,0.006744,0.007606
-0.25,2.175759,1.772041,1.467258,0.017799,0.006746,0.007640
-0.20,2.204580,1.794207,1.491058,0.017517,0.006696,0.007669
-0.15,2.233460,1.816664,1.514566,0.017153,0.006618,0.007695
-0.10,2.262442,1.839488,1.538232,0.016769,0.006537,0.007715
-0.05,2.291572,1.862758,1.562504,0.016417,0.006476,0.007728
-0.00,2.320899,1.886565,1.587837,0.016148,0.006458,0.007731
0.05,2.350571,1.911063,1.614330,0.015937,0.006496,0.007719
0.10,2.380518,1.936144,1.641715,0.015761,0.006569,0.007696
0.15,2.410569,1.961584,1.669734,0.015614,0.006654,0.007669
0.20,2.440548,1.987152,1.698115,0.015491,0.006724,0.007644
0.25,2.470315,2.012635,1.726602,0.015390,0.006752,0.007630
0.30,2.500204,2.038466,1.755648,0.015343,0.006735,0.007635
0.35,2.530114,2.064618,1.785228,0.015340,0.006691,0.007651
0.40,2.559800,2.090683,1.814905,0.015341,0.006636,0.007664
0.45,2.589020,2.116255,1.844250,0.015309,0.006585,0.007661
0.50,2.617524,2.140920,1.872830,0.015205,0.006554,0.007628
0.55,2.645289,2.164559,1.900770,0.014982,0.006556,0.007556
0.60,2.672463,2.187536,1.928342,0.014678,0.006581,0.007454
0.65,2.699087,2.209905,1.955457,0.014362,0.006606,0.007340
0.70,2.725202,2.231717,1.982019,0.014096,0.006606,0.007228
0.75,2.750844,2.253023,2.007931,0.013940,0.006559,0.007135
0.80,2.776322,2.274093,2.033424,0.013944,0.006442,0.007061
0.85,2.801659,2.295074,2.058738,0.014071,0.006271,0.006996
0.90,2.826337,2.315350,2.083274,0.014248,0.006082,0.006938
0.95,2.849831,2.334296,2.106424,0.014396,0.005908,0.006886
1.00,2.871628,2.351298,2.127589,0.014434,0.005778,0.006837
1.05,2.891128,2.366010,2.146519,0.014312,0.005696,0.006786
1.10,2.908565,2.378834,2.163491,0.014086,0.005639,0.006736
1.15,2.924840,2.390244,2.178996,0.013816,0.005602,0.006691
1.20,2.940854,2.400711,2.193525,0.013557,0.005583,0.006656
1.25,2.957518,2.410705,2.207576,0.013361,0.005576,0.006635
1.30,2.975403,2.420455,2.221492,0.013235,0.005586,0.006632
1.35,2.993941,2.429651,2.234979,0.013133,0.005618,0.006643
1.40,3.012420,2.438045,2.247591,0.013063,0.005664,0.006665
1.45,3.030122,2.445395,2.258881,0.013033,0.005716,0.006696
1.50,3.046332,2.451466,2.268412,0.013052,0.005769,0.006733
1.55,3.060222,2.455574,2.275346,0.013128,0.005821,0.006778
1.60,3.072164,2.457770,2.279846,0.013260,0.005879,0.006833
1.65,3.083396,2.459143,2.283211,0.013432,0.005940,0.006896
1.70,3.095149,2.460776,2.286738,0.013630,0.006003,0.006963
1.75,3.108629,2.463732,2.291697,0.013836,0.006064,0.007033
1.80,3.124231,2.468266,2.298223,0.014051,0.006122,0.007105
1.85,3.141130,2.473633,2.305539,0.014292,0.006179,0.007182
1.90,3.158773,2.479479,2.313316,0.014552,0.006237,0.007262
1.95,3.176623,2.485461,2.321234,0.014820,0.006295,0.007343
2.00,3.194152,2.491240,2.328977,0.015088,0.006354,0.007425
