camera_stops,log_exposure_lux_seconds,curve_high_density,curve_mid_density,curve_low_density
-8.000000,-2.915000,0.916643,0.658934,0.212596
-7.900000,-2.885000,0.917898,0.659484,0.213498
-7.800000,-2.855000,0.919235,0.660088,0.214459
-7.700000,-2.825000,0.920694,0.660777,0.215514
-7.600000,-2.795000,0.922322,0.661583,0.216701
-7.500000,-2.765000,0.924144,0.662517,0.218067
-7.400000,-2.735000,0.926002,0.663402,0.219421
-7.300000,-2.705000,0.927904,0.664265,0.220746
-7.200000,-2.675000,0.929914,0.665199,0.222155
-7.100000,-2.645000,0.932100,0.666302,0.223768
-7.000000,-2.615000,0.934526,0.667669,0.225699
-6.900000,-2.585000,0.937248,0.669391,0.228055
-6.800000,-2.555000,0.940315,0.671541,0.230927
-6.700000,-2.525000,0.943634,0.674067,0.234292
-6.600000,-2.495000,0.946863,0.676508,0.237743
-6.500000,-2.465000,0.950147,0.679007,0.241365
-6.400000,-2.435000,0.953656,0.681781,0.245309
-6.300000,-2.405000,0.957553,0.685041,0.249724
-6.200000,-2.375000,0.961995,0.688988,0.254750
-6.100000,-2.345000,0.967130,0.693815,0.260520
-6.000000,-2.315000,0.973099,0.699702,0.267161
-5.900000,-2.285000,0.980022,0.706812,0.274781
-5.800000,-2.255000,0.987683,0.714986,0.283203
-5.700000,-2.225000,0.995952,0.724031,0.292301
-5.600000,-2.195000,1.004808,0.733853,0.302046
-5.500000,-2.165000,1.014239,0.744367,0.312422
-5.400000,-2.135000,1.024242,0.755504,0.323419
-5.300000,-2.105000,1.034821,0.767200,0.335036
-5.200000,-2.075000,1.045986,0.779400,0.347282
-5.100000,-2.045000,1.057759,0.792055,0.360173
-5.000000,-2.015000,1.070236,0.805255,0.373731
-4.900000,-1.985000,1.083644,0.819423,0.388127
-4.800000,-1.955000,1.097879,0.834428,0.403325
-4.700000,-1.925000,1.112801,0.850081,0.419235
-4.600000,-1.895000,1.128270,0.866187,0.435765
-4.500000,-1.865000,1.144139,0.882544,0.452820
-4.400000,-1.835000,1.160257,0.898948,0.470303
-4.300000,-1.805000,1.176472,0.915190,0.488113
-4.200000,-1.775000,1.192628,0.931057,0.506137
-4.100000,-1.745000,1.208961,0.946770,0.524786
-4.000000,-1.715000,1.225645,0.962549,0.544267
-3.900000,-1.685000,1.242618,0.978385,0.564333
-3.800000,-1.655000,1.259809,0.994266,0.584725
-3.700000,-1.625000,1.277147,1.010182,0.605175
-3.600000,-1.595000,1.294556,1.026120,0.625416
-3.500000,-1.565000,1.311964,1.042069,0.645191
-3.400000,-1.535000,1.329300,1.058018,0.664258
-3.300000,-1.505000,1.346569,1.073999,0.682774
-3.200000,-1.475000,1.363844,1.090044,0.701088
-3.100000,-1.445000,1.381151,1.106126,0.719180
-3.000000,-1.415000,1.398514,1.122223,0.737027
-2.900000,-1.385000,1.415958,1.138310,0.754607
-2.800000,-1.355000,1.433505,1.154365,0.771894
-2.700000,-1.325000,1.451183,1.170364,0.788859
-2.600000,-1.295000,1.469017,1.186283,0.805474
-2.500000,-1.265000,1.487075,1.202112,0.821724
-2.400000,-1.235000,1.505451,1.217948,0.837539
-2.300000,-1.205000,1.524057,1.233782,0.852916
-2.200000,-1.175000,1.542822,1.249571,0.867931
-2.100000,-1.145000,1.561677,1.265270,0.882661
-2.000000,-1.115000,1.580549,1.280836,0.897186
-1.900000,-1.085000,1.599366,1.296225,0.911588
-1.800000,-1.055000,1.618059,1.311396,0.925945
-1.700000,-1.025000,1.636558,1.326309,0.940336
-1.600000,-0.995000,1.654818,1.340928,0.954622
-1.500000,-0.965000,1.673007,1.355274,0.968729
-1.400000,-0.935000,1.691134,1.369396,0.982704
-1.300000,-0.905000,1.709202,1.383344,0.996588
-1.200000,-0.875000,1.727214,1.397165,1.010418
-1.100000,-0.845000,1.745173,1.410907,1.024233
-1.000000,-0.815000,1.763082,1.424615,1.038074
-0.900000,-0.785000,1.780943,1.438338,1.051979
-0.800000,-0.755000,1.798750,1.452141,1.065988
-0.700000,-0.725000,1.816424,1.465973,1.080114
-0.600000,-0.695000,1.833980,1.479756,1.094328
-0.500000,-0.665000,1.851469,1.493491,1.108599
-0.400000,-0.635000,1.868941,1.507182,1.122894
-0.300000,-0.605000,1.886447,1.520830,1.137182
-0.200000,-0.575000,1.904040,1.534439,1.151429
-0.100000,-0.545000,1.921770,1.548012,1.165603
0.000000,-0.515000,1.939690,1.561552,1.179670
0.100000,-0.485000,1.957824,1.575025,1.193605
0.200000,-0.455000,1.976130,1.588401,1.207424
0.300000,-0.425000,1.994572,1.601721,1.221164
0.400000,-0.395000,2.013112,1.615022,1.234861
0.500000,-0.365000,2.031711,1.628345,1.248551
0.600000,-0.335000,2.050331,1.641729,1.262272
0.700000,-0.305000,2.068933,1.655213,1.276060
0.800000,-0.275000,2.087479,1.668835,1.289951
0.900000,-0.245000,2.105939,1.682608,1.303940
1.000000,-0.215000,2.124343,1.696440,1.317870
1.100000,-0.185000,2.142720,1.710339,1.331771
1.200000,-0.155000,2.161097,1.724326,1.345697
1.300000,-0.125000,2.179502,1.738423,1.359702
1.400000,-0.095000,2.197959,1.752654,1.373840
1.500000,-0.065000,2.216496,1.767041,1.388168
1.600000,-0.035000,2.235140,1.781610,1.402741
1.700000,-0.005000,2.253920,1.796382,1.417619
1.800000,0.025000,2.272971,1.811395,1.432841
1.900000,0.055000,2.292310,1.826735,1.448362
2.000000,0.085000,2.311824,1.842312,1.464121
2.100000,0.115000,2.331397,1.858034,1.480050
2.200000,0.145000,2.350908,1.873806,1.496083
2.300000,0.175000,2.370241,1.889533,1.512150
2.400000,0.205000,2.389280,1.905122,1.528186
2.500000,0.235000,2.407910,1.920480,1.544122
2.600000,0.265000,2.426058,1.935573,1.559919
2.700000,0.295000,2.443924,1.950627,1.575742
2.800000,0.325000,2.461548,1.965645,1.591598
