wavelength_nm,minimum_density,midscale_neutral_density,source_spacing_nm,working_spacing_nm
400.0,0.810086,1.151502,10,5
405.0,0.782638,1.142821,10,5
410.0,0.755190,1.134140,10,5
415.0,0.797140,1.196362,10,5
420.0,0.839089,1.258584,10,5
425.0,0.878128,1.314985,10,5
430.0,0.917167,1.371386,10,5
435.0,0.937440,1.397428,10,5
440.0,0.957712,1.423471,10,5
445.0,0.962027,1.426381,10,5
450.0,0.966343,1.429292,10,5
455.0,0.956206,1.416296,10,5
460.0,0.946070,1.403299,10,5
465.0,0.928709,1.375801,10,5
470.0,0.911347,1.348303,10,5
475.0,0.892580,1.317895,10,5
480.0,0.873813,1.287487,10,5
485.0,0.853541,1.260039,10,5
490.0,0.833269,1.232591,10,5
495.0,0.828953,1.229681,10,5
500.0,0.824638,1.226770,10,5
505.0,0.836179,1.247043,10,5
510.0,0.847720,1.267315,10,5
515.0,0.828903,1.257179,10,5
520.0,0.810086,1.247043,10,5
525.0,0.772502,1.221000,10,5
530.0,0.734918,1.194957,10,5
535.0,0.717556,1.181911,10,5
540.0,0.700194,1.168864,10,5
545.0,0.690058,1.152957,10,5
550.0,0.679922,1.137051,10,5
555.0,0.671241,1.103782,10,5
560.0,0.662560,1.070514,10,5
565.0,0.633607,1.012658,10,5
570.0,0.604654,0.954801,10,5
575.0,0.551164,0.882444,10,5
580.0,0.497673,0.810086,10,5
585.0,0.438362,0.746459,10,5
590.0,0.379050,0.682833,10,5
595.0,0.335646,0.648109,10,5
600.0,0.292241,0.613385,10,5
605.0,0.271969,0.607615,10,5
610.0,0.251697,0.601844,10,5
615.0,0.248836,0.613385,10,5
620.0,0.245976,0.624926,10,5
625.0,0.245976,0.642288,10,5
630.0,0.245976,0.659650,10,5
635.0,0.250292,0.678467,10,5
640.0,0.254607,0.697284,10,5
645.0,0.261833,0.717556,10,5
650.0,0.269059,0.737829,10,5
655.0,0.274829,0.755190,10,5
660.0,0.280600,0.772552,10,5
665.0,0.287876,0.787004,10,5
670.0,0.295151,0.801455,10,5
675.0,0.299467,0.811591,10,5
680.0,0.303782,0.821727,10,5
685.0,0.308148,0.827498,10,5
690.0,0.312513,0.833269,10,5
695.0,0.312513,0.830358,10,5
700.0,0.312513,0.827448,10,5
