This is colorSpec.  Version: 1.2-1.  Author: Glenn Davis [aut, cre].  Built: R 4.0.3; ; 2020-11-24 03:42:15 UTC; unix
BEGIN_SCANNER_ACES
Wavelength,r,g,b
368,0,0,3.48621550389759e-06
370,0,0,3.48621550389759e-06
372,0,4.78918028390261e-06,1.04586465116928e-05
374,4.25948800954125e-06,4.78918028390261e-06,1.74310775194879e-05
376,1.06487200238531e-05,9.57836056780521e-06,2.44035085272831e-05
378,1.91676960429356e-05,9.57836056780521e-06,3.48621550389759e-05
380,2.76866720620182e-05,9.57836056780521e-06,4.18345860467711e-05
382,2.76866720620182e-05,9.57836056780521e-06,4.53208015506687e-05
384,2.12974400477063e-05,4.78918028390261e-06,4.53208015506687e-05
386,1.27784640286238e-05,4.78918028390261e-06,4.88070170545662e-05
388,4.25948800954125e-06,0,5.57794480623614e-05
390,0,0,6.97243100779518e-05
392,0,0,9.76140341091325e-05
394,0,0,0.000128989973644211
396,0,0,0.000174310775194879
398,0,0,0.000226604007753343
400,0,0,0.0002893558868235
402,0,0,0.000373025058917042
404,0,0,0.000481097739537867
406,0,0,0.000610087713182078
408,0,0,0.000763481195353572
410,0,0,0.000934305755044554
412,0,0,0.00113302003876672
414,0,0,0.00136659647752785
416,0,0,0.00164200750233576
418,0,0,0.00195925311319045
420,0,0,0.00232530574109969
422,0,0,0.0027541102480791
424,0,0,0.00325961149614425
426,0,0,0.00381740597676786
428,0,0,0.00441006261243045
430,0,0,0.00499923303258914
432,0,0,0.00554656886670106
434,0,0,0.00605904254577401
436,0,0,0.00659243351787034
438,0,0,0.00720949366206021
440,0,0,0.00798343350392548
442,0,1.43675408517078e-05,0.00891425304346613
444,0,4.78918028390261e-05,0.00999149363417049
446,0,9.57836056780521e-05,0.0112639622930931
448,0,0.000143675408517078,0.0127944108993042
450,0,0.000186778031072202,0.0146560499783855
452,0,0.00022030229305952,0.016953465995454
454,0,0.000249037374762936,0.0196448243644629
456,0,0.000277772456466351,0.0225837040342486
